kc.kobo.local | 192.168.1.8 - - [31/May/2021:20:46:47 +0000] "GET /static/css/phaseout/bootstrap.min.css HTTP/1.1" 200 (19400 bytes) "http://kc.kobo.local/super_admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:46:47 +0000] "GET /jsi18n/ HTTP/1.1" 200 (758 bytes) "http://kc.kobo.local/super_admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [31/May/2021:20:46:47 +0000] "GET /static/images/favicon.ico HTTP/1.1" 200 (15086 bytes) "http://kc.kobo.local/super_admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.docker.internal | 172.26.0.4 - - [31/May/2021:20:55:23 +0000] "GET /service_health/ HTTP/1.1" 502 (158 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.26.0.4 - - [31/May/2021:20:55:33 +0000] "GET /service_health/ HTTP/1.1" 502 (158 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.26.0.4 - - [31/May/2021:20:55:44 +0000] "GET /service_health/ HTTP/1.1" 200 (82 bytes) "-" "python-requests/2.22.0"
kc.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:57:50 +0000] "GET / HTTP/1.1" 302 (5 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:57:50 +0000] "GET /super_admin/ HTTP/1.1" 200 (5796 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [31/May/2021:20:57:50 +0000] "GET /static/css/phaseout/bootstrap.min.css HTTP/1.1" 200 (19400 bytes) "http://kc.kobo.local/super_admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:57:50 +0000] "GET /jsi18n/ HTTP/1.1" 200 (758 bytes) "http://kc.kobo.local/super_admin/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [31/May/2021:20:57:50 +0000] "GET /static/js/dist/jquery-migrate.min.map HTTP/1.1" 404 (556 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 172.26.0.1 - kobo [31/May/2021:21:00:50 +0000] "GET /api/v1/user HTTP/1.1" 200 (279 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.28.0.3 - - [01/Jun/2021:01:52:36 +0000] "GET /service_health/ HTTP/1.1" 502 (158 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.28.0.3 - - [01/Jun/2021:01:52:47 +0000] "GET /service_health/ HTTP/1.1" 502 (158 bytes) "-" "python-requests/2.22.0"
kc.docker.internal | 172.28.0.3 - - [01/Jun/2021:01:52:58 +0000] "GET /service_health/ HTTP/1.1" 200 (82 bytes) "-" "python-requests/2.22.0"
kc.kobo.local | 192.168.1.8 - kobo [01/Jun/2021:02:06:06 +0000] "GET / HTTP/1.1" 302 (5 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
